SampleID,Species,tissue
SRR5051407,Zea,
SRR5051415,Zea,
SRR5051999,Zea,
SRR5052003,Zea,
SRR5051567,Zea,
SRR5052000,Zea,
SRR5052004,Zea,
SRR5051568,Zea,
SRR5052001,Zea,
SRR5052006,Zea,
