File,Date,collector,Block,ID,Stem Length,Stem Count,Damage
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,63,11,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,64,9.5,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,65,15.5,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,66,15.5,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,67,10,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,68,13,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,69,8,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,70,14.5,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,71,10.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,72,11,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,73,23,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,74,11.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,75,14,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,76,5,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,77,8.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,78,13.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,79,14.5,15,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,80,14.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,81,16.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,82,12,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,83,15.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,84,11.5,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,85,NA,NA,NA
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,86,12,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,87,8,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,88,12.5,21,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,89,13,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,90,6,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,91,13,18,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,92,11.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,93,9.5,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,94,15,9,1
