Plot: 3,,,,,,,
Date collected,Species,Sex,Weight,,,,
1-8,PF,M,7,,,,
2-18,OT,M,24,,,,
2-19,OT,F,23,,,,
3-11,NA,M,232,,,,
3-11,OT,F,22,,,,
3-11,OT,M,26,,,,
3-11,PF,M,8,,,,
4-8,NA,F,,,,,
5-6,,,,,,,
5-18,NA,F,182,,,,
6-9,OT,F,29,,,,
7-8,NA,F,115,,,,
7-8,NA,M,190,,,,
